#{"t_start": 1718243955.9518445, "env_id": null}
r,l,t
0,2001,57.991565
0,2001,117.877299
0,2001,177.620384
0,2001,236.829995
0,2001,295.510897
0,2001,354.524102
0,2001,413.479412
0,2001,472.548872
0,2001,531.64902
0,2001,590.701893
0,2001,650.492326
0,2001,710.316543
0,2001,769.182462
0,2001,828.627028
0,2001,887.957132
0,2001,946.792965
0,2001,1005.720903
0,2001,1064.881159
0,2001,1123.25193
0,2001,1181.785438
0,2001,1241.842975
0,2001,1300.47949
0,2001,1358.737902
0,2001,1417.147396
0,2001,1475.411781
0,2001,1534.651576
0,2001,1593.689979
0,2001,1652.972571
0,2001,1711.949239
0,2001,1770.701671
0,2001,1829.560148
0,2001,1888.362509
0,2001,1947.991431
0,2001,2007.679202
0,2001,2066.690167
0,2001,2126.121136
0,2001,2185.156342
0,2001,2243.88271
0,2001,2302.772831
0,2001,2361.717204
0,2001,2419.950468
0,2001,2478.798958
0,2001,2537.694541
0,2001,2591.350151
0,2001,2650.206445
0,2001,2709.122467
0,2001,2768.015482
0,2001,2826.504276
0,2001,2885.228663
0,2001,2943.684931
0,2001,3002.664613
0,2001,3062.193343
0,2001,3121.772787
0,2001,3181.066923
0,2001,3240.329901
0,2001,3298.85257
0,2001,3358.3649
0,2001,3417.111002
0,2001,3476.081836
0,2001,3534.46735
0,2001,3593.433976
0,2001,3652.777291
0,2001,3711.830489
0,2001,3770.947119
0,2001,3830.170348
0,2001,3889.783393
0,2001,3949.983057
0,2001,4008.905444
0,2001,4067.648523
0,2001,4127.143861
0,2001,4186.28142
0,2001,4245.544137
0,2001,4304.817674
0,2001,4363.784086
0,2001,4422.989723
0,2001,4482.258792
0,2001,4542.281108
0,2001,4601.687288
0,2001,4660.51001
0,2001,4720.25346
0,2001,4779.43617
0,2001,4838.98812
0,2001,4898.394494
0,2001,4957.823862
0,2001,5017.146521
0,2001,5076.571459
0,2001,5135.815676
0,2001,5189.701166
0,2001,5248.251724
0,2001,5306.828768
0,2001,5365.821329
0,2001,5424.867269
0,2001,5483.947747
0,2001,5542.788017
0,2001,5601.686099
0,2001,5660.788484
0,2001,5719.611019
0,2001,5779.539587
0,2001,5839.207421
0,2001,5897.948189
0,2001,5957.285274
0,2001,6016.155908
0,2001,6075.060172
0,2001,6134.167331
0,2001,6193.261705
0,2001,6252.260427
0,2001,6311.475952
0,2001,6370.35949
0,2001,6429.479373
0,2001,6488.567605
0,2001,6547.704186
0,2001,6607.470571
0,2001,6686.965259
0,2001,6764.311241
0,2001,6824.307036
0,2001,6883.848668
0,2001,6943.217288
0,2001,7002.434747
0,2001,7061.905024
0,2001,7121.227034
0,2001,7180.630316
0,2001,7239.515681
0,2001,7299.166263
0,2001,7358.934772
0,2001,7418.787202
0,2001,7478.994689
0,2001,7538.659665
0,2001,7597.429365
0,2001,7656.58692
0,2001,7715.960353
0,2001,7769.932662
0,2001,7829.091521
0,2001,7888.077136
0,2001,7947.614464
0,2001,8006.855183
0,2001,8065.817311
0,2001,8125.622288
0,2001,8184.683131
0,2001,8243.972235
0,2001,8303.522567
0,2001,8362.732702
0,2001,8421.971989
0,2001,8481.321456
0,2001,8540.98291
0,2001,8599.637548
0,2001,8659.032533
0,2001,8717.743518
0,2001,8777.050672
0,2001,8835.958727
0,2001,8895.085401
