#{"t_start": 1719325887.299446, "env_id": "None"}
r,l,t
0.0,2001,59.85119
0.0,2001,119.247335
0.0,2001,179.522196
0.0,2001,238.862168
0.0,2001,297.683211
0.0,2001,356.948326
0.0,2001,416.132164
0.0,2001,475.426162
0.0,2001,534.127627
0.0,2001,592.853384
0.0,2001,651.649094
0.0,2001,710.007597
0.0,2001,769.190928
0.0,2001,827.587183
0.0,2001,885.503178
0.0,2001,944.157642
0.0,2001,1002.377811
0.0,2001,1058.084096
0.0,2001,1119.090713
0.0,2001,1178.431454
0.0,2001,1233.161971
0.0,2001,1288.192383
0.0,2001,1341.935876
0.0,2001,1394.889972
0.0,2001,1447.586586
0.0,2001,1501.227774
0.0,2001,1554.468491
0.0,2001,1604.872593
0.0,2001,1654.046111
0.0,2001,1709.156281
0.0,2001,1762.65794
0.0,2001,1814.916508
0.0,2001,1868.045341
0.0,2001,1921.111688
0.0,2001,1973.963298
0.0,2001,2026.417472
0.0,2001,2079.273781
0.0,2001,2132.60503
0.0,2001,2185.553187
0.0,2001,2238.071533
0.0,2001,2290.809874
0.0,2001,2343.442613
0.0,2001,2396.333229
0.0,2001,2447.392615
0.0,2001,2500.347654
0.0,2001,2553.712944
0.0,2001,2606.722382
0.0,2001,2659.322202
0.0,2001,2712.134314
0.0,2001,2765.83195
0.0,2001,2817.746582
0.0,2001,2878.398479
0.0,2001,2938.204419
0.0,2001,2991.09449
0.0,2001,3043.882728
0.0,2001,3097.34727
0.0,2001,3150.900002
0.0,2001,3204.287177
0.0,2001,3257.557589
0.0,2001,3310.999346
0.0,2001,3364.066362
0.0,2001,3417.161033
0.0,2001,3470.262812
0.0,2001,3523.163821
0.0,2001,3576.091239
0.0,2001,3629.2922
0.0,2001,3682.646915
0.0,2001,3735.770593
0.0,2001,3788.848772
0.0,2001,3841.919995
0.0,2001,3895.572294
0.0,2001,3948.316453
0.0,2001,4001.830019
0.0,2001,4055.164794
0.0,2001,4108.025514
0.0,2001,4160.149316
0.0,2001,4213.319501
0.0,2001,4266.71286
0.0,2001,4320.536549
0.0,2001,4373.750239
0.0,2001,4426.835796
0.0,2001,4480.719442
0.0,2001,4533.986041
0.0,2001,4587.279306
0.0,2001,4641.130653
0.0,2001,4694.277817
0.0,2001,4747.355844
0.0,2001,4798.357393
0.0,2001,4852.280962
0.0,2001,4905.917966
0.0,2001,4959.404746
0.0,2001,5012.645949
0.0,2001,5065.877534
0.0,2001,5119.286482
0.0,2001,5173.027035
0.0,2001,5226.066167
0.0,2001,5279.576023
0.0,2001,5332.79335
0.0,2001,5386.015991
0.0,2001,5439.611536
0.0,2001,5493.137323
0.0,2001,5546.808021
0.0,2001,5600.081327
0.0,2001,5653.510245
0.0,2001,5706.917508
0.0,2001,5760.534719
0.0,2001,5814.264812
0.0,2001,5867.907883
0.0,2001,5920.851925
0.0,2001,5974.754312
0.0,2001,6028.224638
0.0,2001,6082.249348
0.0,2001,6135.957107
0.0,2001,6190.091567
0.0,2001,6244.334275
0.0,2001,6298.538905
0.0,2001,6352.90489
0.0,2001,6406.678372
0.0,2001,6460.652734
0.0,2001,6513.890842
0.0,2001,6567.969638
0.0,2001,6622.026543
0.0,2001,6675.908127
0.0,2001,6730.144929
0.0,2001,6784.639096
0.0,2001,6838.182006
0.0,2001,6892.08304
0.0,2001,6946.174433
0.0,2001,7000.532574
0.0,2001,7054.490659
0.0,2001,7106.201436
0.0,2001,7159.538212
0.0,2001,7213.440989
0.0,2001,7267.558597
0.0,2001,7321.790741
0.0,2001,7375.603831
0.0,2001,7429.342375
0.0,2001,7483.227164
0.0,2001,7536.554383
0.0,2001,7590.519647
0.0,2001,7644.773522
0.0,2001,7698.577864
0.0,2001,7752.584721
0.0,2001,7806.442529
0.0,2001,7860.164935
0.0,2001,7913.508597
0.0,2001,7967.377682
0.0,2001,8021.251905
0.0,2001,8075.382901
0.0,2001,8128.89904
0.0,2001,8182.954127
0.0,2001,8238.010752
0.0,2001,8292.437832
0.0,2001,8346.444757
0.0,2001,8400.125109
0.0,2001,8453.893873
0.0,2001,8507.490924
0.0,2001,8561.292455
0.0,2001,8614.853041
0.0,2001,8668.976444
0.0,2001,8723.415988
0.0,2001,8777.873587
0.0,2001,8831.932635
0.0,2001,8886.228199
0.0,2001,8940.58841
0.0,2001,8994.112118
0.0,2001,9047.493467
0.0,2001,9101.107019
0.0,2001,9155.038918
0.0,2001,9209.398423
0.0,2001,9263.288851
0.0,2001,9317.243141
0.0,2001,9371.56021
0.0,2001,9425.925439
0.0,2001,9477.613523
0.0,2001,9531.142924
0.0,2001,9584.904291
0.0,2001,9638.706023
0.0,2001,9692.629738
0.0,2001,9746.588838
0.0,2001,9800.530685
0.0,2001,9853.582527
0.0,2001,9907.476941
0.0,2001,9961.483098
0.0,2001,10015.570173
0.0,2001,10069.811204
0.0,2001,10123.613786
0.0,2001,10177.719279
0.0,2001,10231.570469
0.0,2001,10285.753158
0.0,2001,10339.762621
0.0,2001,10394.097248
0.0,2001,10448.236778
0.0,2001,10501.87792
0.0,2001,10556.305103
0.0,2001,10609.980078
0.0,2001,10663.660582
0.0,2001,10717.011999
0.0,2001,10769.829132
0.0,2001,10823.738582
0.0,2001,10877.348036
0.0,2001,10930.771647
0.0,2001,10984.511067
0.0,2001,11038.245969
0.0,2001,11091.69986
0.0,2001,11145.719331
0.0,2001,11200.170462
0.0,2001,11254.076963
0.0,2001,11308.100626
0.0,2001,11361.916332
0.0,2001,11416.043287
0.0,2001,11469.483793
0.0,2001,11523.404916
0.0,2001,11577.408983
0.0,2001,11631.299452
0.0,2001,11684.582504
0.0,2001,11738.238054
0.0,2001,11789.389661
0.0,2001,11843.687259
0.0,2001,11897.849661
0.0,2001,11951.747223
0.0,2001,12006.247736
0.0,2001,12060.16941
0.0,2001,12114.102517
0.0,2001,12168.089473
0.0,2001,12222.388603
0.0,2001,12276.619907
0.0,2001,12330.457674
0.0,2001,12384.77448
0.0,2001,12439.081723
0.0,2001,12493.601013
0.0,2001,12546.926723
0.0,2001,12600.354538
0.0,2001,12654.835068
0.0,2001,12708.809182
0.0,2001,12762.468722
0.0,2001,12816.155613
0.0,2001,12870.324283
0.0,2001,12924.316439
0.0,2001,12977.86747
0.0,2001,13031.491493
0.0,2001,13085.415942
0.0,2001,13139.84649
0.0,2001,13193.729462
0.0,2001,13247.33822
0.0,2001,13301.426182
0.0,2001,13355.302599
0.0,2001,13409.78784
0.0,2001,13463.625776
0.0,2001,13516.990969
0.0,2001,13570.967669
0.0,2001,13625.125235
0.0,2001,13679.022367
0.0,2001,13733.457962
0.0,2001,13787.540387
0.0,2001,13841.497239
0.0,2001,13895.178612
0.0,2001,13949.015355
0.0,2001,14003.353492
0.0,2001,14057.223827
0.0,2001,14111.398795
0.0,2001,14163.232811
0.0,2001,14217.182495
0.0,2001,14270.936495
0.0,2001,14324.645173
0.0,2001,14378.541006
0.0,2001,14432.608534
0.0,2001,14486.53839
0.0,2001,14540.506022
0.0,2001,14594.64896
0.0,2001,14648.547967
0.0,2001,14702.395872
0.0,2001,14756.637947
0.0,2001,14810.614075
0.0,2001,14864.946559
0.0,2001,14919.22503
0.0,2001,14973.538836
0.0,2001,15027.668234
0.0,2001,15081.557729
0.0,2001,15135.617229
0.0,2001,15189.670135
0.0,2001,15243.567493
0.0,2001,15297.259238
0.0,2001,15350.897461
0.0,2001,15404.720188
0.0,2001,15458.523278
0.0,2001,15511.972242
0.0,2001,15565.311708
0.0,2001,15619.279896
0.0,2001,15673.455373
0.0,2001,15726.789282
0.0,2001,15780.466405
0.0,2001,15834.805331
0.0,2001,15888.75337
0.0,2001,15942.86761
0.0,2001,15996.891616
